id,rle_mask
9f91c31994,5960 15 6061 21 6162 28 6263 33 6364 39 6465 42 6566 46 6667 51 6768 57 6869 62 6970 66 7071 69 7172 71 7273 73 7374 74 7475 75 7576 76 7677 77 7778 78 7879 79 7980 80 8081 81 8182 82 8283 84 8384 87 8485 90 8586 94 8687 97 8788 1414
faf72a780b,1 1913 1920 89 2021 85 2122 76 2223 66 2324 59 2425 52 2526 40 2627 31 2728 24 2829 18 2930 12 3031 6
1d1ca0e373,4758 11 4849 24 4950 27 5051 30 5152 31 5253 33 5354 34 5455 35 5556 35 5657 36 5758 36 5859 36 5960 36 6061 37 6162 37 6263 37 6364 37 6465 37 6566 38 6667 38 6768 39 6869 39 6970 40 7071 40 7172 41 7273 41 7374 42 7475 43 7576 43 7677 44 7778 44 7879 45 7980 46 8081 47 8182 48 8283 49 8384 50 8485 52 8586 54 8687 56 8788 58 8889 60 8990 62 9091 64 9192 65 9293 67 9394 69 9495 70 9596 71 9697 72 9798 74 9899 75 10000 76 10101 76
4fda00e2d1,1 299 303 95 405 93 506 91 607 89 708 88 809 87 910 85 1011 84 1112 83 1213 81 1314 79 1415 78 1516 76 1617 74 1718 73 1819 71 1920 70 2021 68 2122 67 2223 66 2324 64 2425 63 2526 61 2627 60 2728 58 2829 56 2930 55 3031 53 3132 51 3233 50 3334 48 3435 46 3536 45 3637 42 3738 40 3839 38 3940 35 4041 32 4142 30 4243 28 4344 26 4445 23 4546 21 4647 20 4748 18 4849 17 4950 15 5051 14 5152 12 5253 10 5354 9 5455 9 5556 8 5657 8 5758 7 5859 7 5960 5 6061 4
d2e5dc1a0b,5376 8 5471 34 5567 46 5666 54 5765 60 5864 67 5960 83 6061 97 6162 4040
e4d6a54b19,
4bfa0bfa8b,6362 2 6461 4 6561 5 6660 7 6759 9 6859 10 6958 12 7058 13 7158 14 7258 15 7357 17 7457 18 7556 20 7656 21 7756 22 7856 23 7956 24 8055 26 8155 27 8255 28 8355 29 8455 30 8556 30 8656 31 8756 32 8856 33 8956 34 9056 35 9157 35 9257 36 9358 36 9458 37 9559 37 9659 38 9760 38 9860 39 9961 39 10062 39 10163 39
1087f576d3,
16541f595d,
913f5c6470,
15338f4b95,4849 3 4950 5 5051 7 5152 9 5253 11 5354 14 5455 16 5556 17 5657 19 5758 20 5859 21 5960 22 6061 23 6162 24 6263 25 6364 26 6465 27 6566 28 6667 29 6768 29 6869 30 6970 31 7071 32 7172 33 7273 34 7374 36 7475 37 7576 38 7677 40 7778 41 7879 43 7980 45 8081 47 8182 49 8283 51 8384 53 8485 54 8586 56 8687 58 8788 59 8889 60 8990 62 9091 63 9192 64 9293 66 9394 67 9495 68 9596 69 9697 70 9798 71 9899 72 10000 73 10101 73
afd4f54ea5,8889 2 8990 4 9091 5 9192 7 9293 8 9394 9 9495 10 9596 11 9697 12 9798 13 9899 14 10000 14 10101 15
e292577582,
993edf78fa,
19809089fd,3451 9 3548 17 3637 5 3646 22 3738 34 3839 36 3940 38 4041 40 4142 44 4243 47 4344 50 4445 53 4546 56 4647 59 4748 63 4849 67 4950 71 5051 75 5148 83 5245 4957
6a06625d6a,3532 4 3629 8 3727 11 3825 14 3922 18 4019 22 4117 25 4214 29 4311 33 4409 36 4507 39 4605 42 4703 45 4800 49 4896 54 4993 58 5089 63 5186 67 5282 72 5379 76 5475 81 5568 4435 10004 97 10109 93
65e9989c7b,
c62cffd089,
db6202ef84,
22f1d9ba23,
598c719aa7,6869 7 6970 8 7071 10 7172 12 7273 13 7374 15 7475 17 7576 18 7677 19 7778 20 7879 21 7980 22 8081 23 8182 25 8283 26 8384 27 8485 28 8586 29 8687 29 8788 29 8889 30 8990 30 9091 30 9192 30 9293 30 9394 30 9495 30 9596 30 9697 30 9798 31 9899 32 10000 32 10101 32
ac7300662b,18 84 118 85 218 86 319 86 420 86 521 86 622 86 722 87 822 88 923 88 1023 89 1124 89 1224 90 1325 90 1426 90 1526 91 1626 80 1725 77 1819 79 1920 75 2021 69 2122 65 2223 62 2324 58 2425 55 2526 53 2627 50 2728 47 2829 44 2930 42 3031 39 3132 37 3233 34 3334 32 3435 29 3536 27 3637 25 3738 21 3839 19 3940 15 4041 12 4142 9 4243 6 4344 3 4953 2 4980 10 5051 13 5078 15 5152 44 5253 46 5354 49 5455 53 5556 58 5657 62 5758 66 5859 69 5960 70 6061 72 6162 74 6263 75 6364 75 6465 76 6566 77 6667 78 6768 78 6869 79 6970 79 7071 80 7172 80 7273 81 7374 83 7475 84 7576 85 7677 87 7778 88 7879 90 7980 91 8087 86 8193 81 8296 80 8401 76 8507 71 8611 68 8715 66 8819 63 8921 62 9023 62 9125 62 9228 61 9330 63 9432 63 9534 62 9636 61 9738 60 9839 60 9940 60 10041 60 10142 60
edaf99ea34,26 59 128 59 230 58 332 57 435 55 537 54 639 53 741 52 843 51 946 49 1048 49 1151 47 1253 46 1356 45 1458 45 1560 44 1663 42 1766 40 1867 40 1968 39 2070 37 2171 37 2272 37 2373 37 2474 36 2575 36 2676 36 2776 37 2876 38 2976 39 3075 41 3175 42 3275 33 3310 8 3376 33 3411 8 3477 32 3513 3 3578 31 3679 30 3781 29 3883 27 3985 25 4087 24 4189 23 4290 22 4392 21 4493 21 4595 20 4697 19 4799 17 4901 16 5002 14 5105 10 5206 10 5308 9 5410 8 5511 8 5611 8 5712 8 5813 7 5914 7 6015 8 6115 9 6216 14 6317 15 6418 17 6519 20 6620 20 6721 21 6823 20 6924 20 7026 20 7127 20 7229 20 7330 20 7432 20 7533 19 7634 20 7735 20 7837 18 7938 17 8039 17 8140 15 8156 1 8241 14 8343 12 8444 10 8545 8 8646 8 8748 6 8849 5 8953 1
9f95d4f2cd,
327b7a01ea,
86900ef966,1 6256 6263 90 6364 87 6465 85 6566 84 6667 83 6768 82 6869 81 6970 80 7071 80 7172 81 7273 82 7374 82 7475 82 7576 83 7677 83 7778 83 7879 83 7980 83 8081 83 8182 82 8283 80 8384 77 8485 72 8586 63 8687 58 8788 55 8889 52 8990 50 9091 47 9192 45 9293 43 9394 41 9495 40 9596 38 9697 37 9798 36 9899 35 10000 34 10101 33
566fce5ef6,
7d187bf4bb,
c17dd92387,1 3702 3704 100 3807 96 3910 30 3941 63 4011 30 4046 59 4113 29 4148 56 4217 26 4249 53 4321 23 4351 52 4424 21 4454 50 4528 18 4556 49 4630 17 4660 46 4738 10 4766 16 4783 5 4790 17 4843 6 4870 9 4892 15 4947 2 4995 13 5098 11 5200 10 5302 8 5405 5
3ec79673da,1 75 102 75 203 75 304 74 405 74 506 73 607 71 708 69 809 62 910 61 1011 60 1112 59 1213 58 1314 57 1415 56 1516 55 1617 54 1718 54 1819 53 1920 52 2021 51 2122 50 2223 49 2324 48 2425 47 2526 47 2627 46 2728 45 2829 44 2930 43 3031 43 3132 42 3233 41 3334 40 3435 39 3536 39 3637 38 3738 37 3839 37 3940 36 4041 35 4142 35 4243 34 4344 33 4445 32 4546 31 4647 31 4748 30 4849 28 4950 27 5051 25 5152 23 5253 21 5354 20 5455 19 5556 18 5657 17 5758 17 5859 16 5960 15 6061 14 6162 14 6263 13 6364 13 6465 12 6566 12 6667 11 6768 11 6869 11 6970 11 7071 11 7172 11 7273 11 7374 11 7475 12 7576 12 7677 13 7778 13 7879 13 7980 13 8081 13 8182 13 8283 14 8384 14 8485 14 8586 14 8687 13 8788 13 8889 13 8990 13 9091 13 9192 13 9293 12 9394 12 9495 12 9596 12 9697 12 9798 12 9899 12 10000 12 10101 12
18cedfd6ea,1179 3 1183 1 1272 15 1368 22 1391 1 1393 6 1464 38 1560 45 1660 47 1716 1 1759 51 1814 4 1849 6 1856 56 1913 6 1948 73 2048 74 2148 75 2248 76 2339 86 2435 1 2439 87 2535 92 2633 95 2734 95 2835 95 2935 96 3035 97 3135 98 3235 99 3335 100 3436 6159 9596 100 9697 98 9798 98 9899 95 10000 92 10101 88
c0188d737e,8986 4 9081 10 9176 16 9272 21 9367 27 9460 35 9555 41 9651 46 9744 54 9841 58 9937 63 10034 67 10134 68
d074403298,2423 2 2524 2 2624 3 2725 3 2826 3 2928 2 3030 1
5395ef1290,
7c1758ce19,1 1712 1718 93 1819 91 1920 90 2021 88 2122 87 2223 86 2324 85 2425 84 2526 83 2627 81 2728 79 2829 77 2930 75 3031 74 3132 73 3233 71 3334 70 3435 69 3536 68 3637 66 3738 63 3839 51 3897 1 3940 49 4041 48 4142 47 4243 47 4344 46 4445 46 4546 45 4647 45 4748 45 4849 44 4950 44 5051 44 5152 44 5253 44 5354 43 5455 43 5556 43 5657 43 5758 43 5859 43 5960 42 6061 42 6162 41 6263 40 6364 39 6465 38 6566 36 6667 35 6768 34 6869 32 6970 31 7071 31 7172 30 7273 29 7374 28 7475 28 7576 27 7677 26 7778 25 7879 24 7980 23 8081 21 8182 20 8283 19 8384 18 8485 18 8586 17 8687 16 8788 15 8889 14 8990 14 9091 13 9192 12 9293 11 9394 10 9495 8 9596 6 9697 4 9798 3 9899 1 10000 1
0881e78cac,
7bca7168b6,1 4 102 5 203 6 304 7 405 8 506 10 607 11 708 12 809 14 910 17 1011 19 1112 22 1213 24 1314 26 1415 27 1516 28 1617 29 1718 29 1819 29 1920 30 2021 30 2122 30 2223 30 2324 31 2425 31 2526 32 2627 32 2728 33 2829 34 2930 34 3031 35 3132 35 3233 35 3334 36 3435 36 3536 37 3637 37 3738 38 3839 39 3940 39 4041 40 4142 40 4243 41 4344 41 4445 41 4546 41 4647 42 4748 42 4849 42 4950 42 5051 42 5152 42 5253 42 5354 42 5455 42 5556 42 5657 43 5758 43 5859 43 5960 43 6061 44 6162 45 6263 45 6364 46 6465 47 6566 47 6667 48 6768 49 6869 50 6970 50 7071 51 7172 51 7273 52 7374 53 7475 53 7576 54 7677 55 7778 56 7879 57 7980 58 8081 58 8182 59 8283 59 8384 58 8485 57 8586 57 8687 56 8788 55 8889 55 8990 54 9091 54 9192 54 9293 53 9394 53 9495 53 9596 52 9697 51 9798 50 9899 49 10000 48 10101 48
54ca91e49f,1 7969 7980 88 8081 86 8182 84 8283 82 8384 80 8485 78 8586 76 8687 74 8788 73 8889 70 8990 67 9091 63 9192 61 9293 58 9394 56 9495 55 9596 55 9697 55 9798 55 9899 12 9916 38 10000 8 10019 35 10101 7 10121 34
12ef0f8019,
4cfcacd4f9,1 9898 9903 97 10008 93 10110 92
eb86b8c715,
91c4dc1e59,
ac6c4357a9,
99ea7f1c07,24 78 125 78 227 77 328 77 429 77 531 76 632 76 733 76 834 76 936 75 1037 75 1139 74 1240 74 1342 73 1444 72 1546 71 1647 71 1749 70 1851 69 1953 68 2055 67 2157 66 2259 65 2360 65 2462 64 2563 64 2665 63 2767 62 2868 62 2969 62 3071 61 3172 61 3274 60 3375 60 3477 59 3578 59 3680 58 3781 58 3883 57 3984 57 4086 56 4187 56 4289 55 4390 55 4492 54 4594 53 4695 53 4797 52 4898 52 5000 51 5101 51 5203 50 5304 50 5406 49 5507 49 5608 49 5710 48 5812 47 5913 47 6014 47 6116 46 6217 46 6318 46 6419 46 6520 46 6622 45 6723 45 6824 45 6926 44 7027 44 7129 43 7230 43 7332 42 7433 42 7535 41 7636 41 7737 41 7839 40 7940 40 8041 40 8142 40 8243 40 8344 40 8445 40 8546 40 8647 40 8748 40 8849 40 8950 40 9051 40 9152 40 9253 40 9355 39 9456 39 9557 39 9658 39 9759 39 9860 39 9961 39 10063 38 10164 38
e12852e1cf,
cb271e243d,
5fea3149b3,5050 1 5136 16 5233 20 5329 25 5424 31 5518 38 5599 58 5693 65 5788 71 5865 95 5962 4240
be542946f5,
98b49ec0e6,
4eda5fee4a,44 58 145 58 247 57 349 56 451 55 553 54 655 53 756 53 858 52 959 52 1061 51 1163 50 1265 49 1366 49 1468 48 1570 47 1672 46 1773 46 1875 45 1976 45 2078 44 2179 44 2281 43 2383 42 2484 42 2586 41 2688 40 2789 40 2891 39 2992 39 3093 39 3195 38 3296 38 3398 37 3499 37 3600 37 3702 36 3803 36 3904 36 4005 36 4106 36 4207 36 4309 35 4410 35 4511 35 4612 35 4714 34 4815 34 4916 34 5017 34 5119 33 5220 33 5321 33 5422 33 5523 33 5625 32 5726 32 5828 31 5929 31 6031 30 6133 29 6234 29 6336 28 6437 28 6538 28 6639 28 6741 27 6842 27 6943 27 7045 26 7146 26 7247 26 7348 26 7449 26 7550 26 7652 25 7753 25 7854 25 7954 26 8055 26 8156 26 8257 26 8357 27 8458 27 8558 28 8659 28 8760 28 8860 29 8961 29 9063 28 9164 28 9265 28 9367 27 9468 27 9570 26 9672 25 9773 25 9875 24 9977 23 10078 23 10179 23
3b6f36dc01,
86321af3bf,
320bf85482,
a66a21e4c9,201 2 299 5 396 9 491 15 589 18 686 22 783 26 880 30 978 33 1077 35 1174 39 1272 42 1369 46 1467 49 1564 53 1661 57 1760 59 1858 62 1957 64 2056 66 2156 67 2255 69 2354 71 2453 73 2552 75 2650 78 2749 80 2847 83 2945 86 3044 88 3144 89 3244 90 3343 92 3442 94 3541 2217 5761 98 5865 95 5968 93 6071 91 6173 90 6276 88 6378 87 6481 85 6582 85 6684 84 6786 83 6888 82 6990 81 7092 80 7194 79 7296 78 7397 78 7499 77 7600 77 7702 76 7803 76 7905 75 8007 74 8109 73 8211 72 8313 71 8414 71 8515 71 8616 71 8717 71 8818 71 8919 71 9019 72 9120 72 9221 72 9322 72 9423 72 9525 71 9626 71 9727 71 9829 70 9930 70 10030 71 10131 71
90117af5fb,
d5b845a346,
3164ab09ed,8038 4 8134 11 8234 12 8335 12 8435 12 8536 12 8637 11 8739 10 8840 10 8941 9 9043 8 9144 7 9246 9 9256 4 9348 19 9446 27 9476 6 9494 1 9545 51 9645 52 9745 53 9846 53 9947 53 10049 52 10150 52
efe4a7c5fc,
c3f533acee,
fdf190fde9,
156be6765a,4171 6 4198 7 4243 4 4266 44 4344 9 4363 52 4443 80 4532 5670
8bab2b0c82,
917a0e6868,1 1111 1120 93 1224 90 1327 88 1430 86 1533 84 1635 83 1738 81 1840 80 1943 78 2046 76 2149 74 2252 72 2355 70 2458 68 2560 67 2663 65 2765 64 2867 63 2970 61 3072 60 3174 59 3277 57 3379 56 3481 55 3584 53 3686 52 3788 51 3891 49 3993 48 4095 47 4197 46 4299 45 4400 45 4502 44 4604 43 4706 42 4808 41 4910 40 5012 39 5114 38 5217 36 5319 35 5421 34 5524 32 5626 31 5728 30 5830 29 5932 28 6034 27 6137 25 6239 24 6341 23 6443 22 6545 21 6648 19 6751 17 6854 15 6957 13 7060 11 7165 7 7268 5 7372 2
0b86387a02,
a7f7930f3c,
525fdefea3,1 84 102 84 203 83 304 82 405 80 506 79 607 77 708 75 809 73 910 71 1011 70 1112 68 1213 66 1314 63 1415 62 1516 60 1617 59 1718 58 1819 57 1920 56 2021 55 2122 55 2223 54 2324 54 2425 53 2526 53 2627 53 2728 52 2829 51 2930 50 3031 49 3132 47 3233 46 3334 45 3435 45 3536 44 3637 44 3738 43 3839 43 3940 43 4041 43 4142 42 4243 41 4344 41 4445 40 4546 39 4647 37 4748 35 4849 33 4950 31 5051 29 5152 28 5253 26 5354 25 5455 24 5556 24 5657 23 5758 23 5859 23 5960 23 6061 23 6162 22 6263 22 6364 21 6465 21 6566 20 6667 19 6768 17 6869 16 6970 15 7071 14 7172 12 7273 10 7374 8 7475 7 7576 5 7677 5 7778 4 7879 3 7980 1
ffd071d826,
42eb2264d8,
4df895ff96,
8afdbc2226,
01b47afbf4,
84ee0bfc80,1 95 102 96 203 96 304 95 405 95 506 95 607 95 708 95 809 95 910 95 1011 95 1112 95 1213 94 1314 94 1415 94 1516 94 1617 94 1718 94 1819 94 1920 94 2021 95 2122 95 2223 96 2324 97 2425 100 2526 7676
6c72d0dfd0,
0d7157d748,
2b3a5ae3ea,2625 2 2725 3 2825 4 2925 5 3025 6 3125 7 3224 9 3324 10 3424 11 3523 13 3623 14 3722 16 3822 17 3922 18 4021 20 4122 20 4222 21 4322 22 4422 23 4522 24 4622 25 4722 26 4822 27 4923 27 5023 28 5124 28 5224 29 5325 29 5426 29 5526 30 5627 30 5728 30 5828 31 5928 32 6029 32 6129 33 6229 34 6330 34 6430 35 6530 36 6630 37 6729 39 6828 41 6927 43 7025 46 7122 50 7219 54 7317 57 7414 61 7512 64 7611 66 7710 68 7809 70 7907 73 8006 75 8105 77 8203 80 8301 83 8395 1807
1cdd74608b,2949 1 3048 5 3147 10 3247 12 3347 15 3444 19 3543 21 3643 22 3743 24 3843 24 3943 26 4042 28 4142 29 4243 28 4296 1 4344 29 4393 9 4445 30 4493 11 4546 29 4593 14 4647 29 4694 15 4748 30 4795 16 4849 30 4896 17 4950 30 4997 18 5051 30 5098 18 5152 36 5196 21 5242 1 5246 1 5253 38 5292 27 5343 6 5354 66 5443 10 5455 66 5544 10 5556 66 5645 11 5657 67 5743 14 5758 67 5842 83 5943 84 6041 88 6141 91 6239 3558 9798 99 9899 97 10001 96 10104 92
a5b0ce8395,1 47 102 48 203 48 304 49 405 50 506 52 607 53 708 54 809 56 910 57 1011 58 1112 59 1213 59 1314 60 1415 61 1516 63 1617 64 1718 66 1819 67 1920 68 2021 69 2122 69 2223 69 2324 70 2425 70 2526 70 2627 70 2728 71 2829 71 2930 72 3031 74 3132 75 3233 76 3334 78 3435 80 3536 80 3637 81 3738 81 3839 82 3940 82 4041 83 4142 83 4243 84 4344 85 4445 86 4546 88 4647 90 4748 92 4849 94 4950 94 5051 95 5152 95 5253 95 5354 95 5455 95 5556 95 5657 95 5758 95 5859 95 5960 94 6061 94 6162 93 6263 92 6364 91 6465 90 6566 89 6667 89 6768 88 6869 86 6970 85 7071 84 7172 84 7273 83 7374 83 7475 83 7576 82 7677 82 7778 81 7879 80 7980 80 8081 80 8182 80 8283 80 8384 81 8485 81 8586 82 8687 82 8788 82 8889 82 8990 81 9091 80 9192 78 9293 77 9394 76 9495 74 9596 73 9697 71 9798 69 9899 68 10000 67 10101 67
03b8f5bfa7,5072 14 5152 47 5253 61 5354 66 5455 72 5556 79 5657 85 5758 92 5859 96 5960 4242
f5fa8299bc,
0712535c2b,
178f33f196,
0432c28b41,1 505 508 99 611 97 713 96 816 94 918 93 1020 92 1122 91 1224 90 1326 89 1428 88 1530 87 1632 86 1734 85 1836 84 1939 82 2041 81 2143 80 2245 79 2347 78 2449 77 2551 76 2653 75 2754 75 2856 74 2957 74 3059 73 3161 72 3262 72 3364 71 3465 71 3567 70 3668 70 3769 70 3870 70 3971 70 4072 70 4173 70 4274 70 4375 70 4476 70 4577 70 4678 70 4778 71 4879 71 4980 71 5081 71 5181 72 5282 72 5382 73 5483 73 5583 74 5684 74 5784 75 5884 76 5985 76 6085 77 6186 77 6286 78 6387 78 6487 79 6588 79 6689 79 6789 80 6890 80 6990 81 7091 81 7191 82 7291 83 7392 83 7492 84 7593 84 7693 85 7794 85 7895 85 7996 85 8096 86 8197 86 8297 87 8398 87 8498 88 8598 89 8698 90 8798 91 8898 92 8998 93 9098 94 9198 95 9298 96 9398 97 9498 98 9598 604
d303e1774a,
fa17bef99a,1 6814 6826 86 6932 79 7035 75 7139 71 7244 65 7347 62 7451 1 7460 48 7564 43 7667 39 7770 35 7873 32 7975 28 8078 24 8182 20 8283 18 8384 17 8485 17 8586 16 8687 16 8788 16 8889 16 8990 16 9091 16 9192 16 9293 16 9394 16 9495 16 9596 16 9697 16 9798 17 9899 17 10000 17 10101 17
79ce59706a,1 87 102 87 203 87 304 87 405 87 506 87 607 88 708 88 809 88 910 89 1011 89 1112 89 1213 90 1314 90 1415 90 1516 90 1617 90 1718 90 1819 91 1920 91 2021 92 2122 93 2223 93 2324 93 2425 93 2526 94 2627 94 2728 94 2829 94 2930 94 3031 94 3132 95 3233 95 3334 95 3435 95 3536 94 3637 94 3738 94 3839 93 3940 93 4041 93 4142 93 4243 93 4344 93 4445 92 4546 91 4647 91 4748 90 4849 88 4950 87 5051 86 5152 84 5253 82 5354 80 5455 78 5556 77 5657 75 5758 73 5859 72 5960 70 6061 69 6162 67 6263 66 6364 64 6465 63 6566 60 6667 57 6768 53 6869 45 6984 24
a022b9c3ac,
a594d86f88,1 28 102 28 203 29 304 30 405 31 506 32 607 33 708 34 809 34 910 35 1011 35 1112 36 1213 37 1314 38 1415 39 1516 40 1617 41 1718 42 1819 43 1920 44 2021 45 2122 45 2223 46 2324 47 2425 47 2526 47 2627 48 2728 49 2829 50 2930 51 3031 53 3132 56 3233 59 3334 61 3435 63 3536 65 3637 67 3738 69 3839 71 3940 73 4041 75 4142 76 4243 78 4344 79 4445 81 4546 84 4636 8 4647 5555
73cb41b13d,
ec407c9578,
cbd6daf292,
dd8a561e4c,2413 12 2503 23 2595 32 2692 36 2791 38 2890 40 2990 41 3090 42 3191 42 3291 43 3392 43 3492 44 3592 45 3693 45 3793 46 3894 46 3996 45 4097 45 4199 44 4300 44 4401 44 4502 44 4603 44 4703 45 4804 45 4904 46 5003 48 5102 50 5202 51 5301 53 5401 54 5500 56 5601 53 5701 52 5801 52 5901 51 6002 49 6103 46 6203 45 6304 44 6405 42 6506 40 6606 40 6707 39 6808 38 6908 39 7009 39 7109 40 7209 41 7309 42 7409 43 7509 45 7609 47 7709 50 7809 56 7909 62 8009 65 8110 67 8178 3 8211 72 8312 72 8413 72 8514 72 8615 72 8716 72 8817 72 8917 73 9017 30 9051 40 9117 30 9152 40 9217 31 9253 40 9317 33 9355 39 9416 35 9457 38 9516 37 9556 40 9616 38 9657 40 9715 39 9760 38 9815 84 9915 85 10015 86 10116 86
1aef19ae12,
d09c8b55e8,2324 2 2425 4 2526 5 2627 7 2728 8 2829 9 2930 9 3031 10 3132 11 3233 12 3334 12 3435 13 3536 13 3637 14 3738 15 3839 16 3940 18 4041 19 4142 21 4243 22 4344 23 4445 24 4546 24 4647 24 4748 24 4849 23 4950 23 5051 23 5152 24 5253 25 5354 25 5455 26 5556 26 5657 27 5758 27 5859 28 5960 29 6061 30 6162 31 6263 32 6364 32 6465 33 6566 33 6667 34 6768 34 6869 34 6970 34 7071 34 7172 35 7273 35 7374 36 7475 37 7576 38 7677 38 7778 39 7879 39 7980 40 8081 40 8182 41 8283 42 8384 43 8485 44 8586 45 8687 46 8788 48 8889 51 8990 55 9091 69 9192 74 9293 78 9394 83 9495 87 9596 93 9697 505
59641cace0,
15a7893aaa,
953316da2b,
ddaf8d7cf3,
