language,top_word,top_letter,top_letters,top_l,punct,average_len,num_of_uniq,upper,apost,y, doubles,lh,i,z
uk,від,а,ан,льн,3.66,288.4,28,0.19,0,0,0,0.0,0.42,0
uk,що,о,на,тор,3.44,116.65,30,0.04,0,0,0,0.0,0.28,0
uk,на,о,ак,іша,3.43,177.22,26,0.06,0,0,0,0.0,0.34,0
uk,до,о,ко,ого,3.64,266.24,30,0.16,1,0,0,0.0,0.39,0
uk,році,о,ко,від,3.61,178.74,31,0.08,0,0,0,0.0,0.38,0
uk,на,о,ст,ого,3.96,267.64,31,0.06,0,0,0,0.0,0.32,0
uk,та,а,на,льн,3.63,233.45,28,0.22,1,0,0,0.0,0.38,0
uk,він,о,ть,ння,3.57,164.38,28,0.08,0,0,0,0.0,0.4,0
uk,як,а,ра,rry,3.31,193.85,28,0.12,0,0,0,0.0,0.41,0
vi,sở,n,ng,yên,3.92,41.6,33,0.28,0,0,0,0.0,0.0,0
vi,phim,n,ng,ông,3.71,50.68,28,0.22,0,0,0,0.0,0.0,0
vi,đạo,n,ng,đạo,3.9,38.54,42,0.21,0,0,0,0.0,0.0,0
vi,rạp,n,ng,rạp,3.42,46.22,46,0.16,0,0,0,0.0,0.0,0
vi,năm,n,nh,afi,3.68,47.08,42,0.24,0,0,0,0.0,0.0,0
vi,câu,n,nh,câu,3.18,49.89,38,0.24,1,0,0,0.0,0.0,0
vi,ilsa,n,ng,lsa,3.14,37.62,37,0.21,0,0,0,0.0,0.0,0
vi,chim,n,ng,chi,3.64,41.92,50,0.06,0,0,0,0.0,0.0,0
vi,là,n,ng,tha,3.82,40.78,42,0.14,0,0,0,0.0,0.0,0
vi,của,n,ng,get,4.13,44.95,41,0.15,0,0,0,0.0,0.0,0
pl,jest,a,ni,nic,3.68,310.49,28,0.05,0,0,0,0.0,0.0,1
pl,roku,o,ro,rok,3.67,129.7,26,0.08,0,0,0,0.0,0.0,1
pl,się,a,ie,owa,3.62,220.78,28,0.24,0,0,0,0.0,0.0,1
pl,na,a,ie,ost,3.47,211.95,26,0.19,0,0,0,0.0,0.0,1
pl,na,a,ie,prz,3.72,209.52,28,0.24,0,0,0,0.0,0.0,1
pl,się,o,ie,ego,3.7,163.57,30,0.12,0,0,0,0.0,0.0,1
pl,od,a,ie,prz,3.72,224.2,27,0.22,0,0,0,0.0,0.0,1
pl,jej,a,ie,nie,3.6,223.04,29,0.26,0,0,0,0.0,0.0,1
pl,na,a,ie,sta,3.71,194.83,27,0.28,0,0,0,0.0,0.0,1
pl,był,o,ni,ski,3.9,214.54,27,0.23,0,0,0,0.0,0.0,1
bg,от,и,на,дин,3.26,125.87,23,0.17,0,0,0,0.0,0.0,0
bg,на,а,на,лун,3.81,153.74,23,0.12,0,0,0,0.0,0.0,0
bg,на,а,на,ост,3.51,142.2,21,0.18,0,0,0,0.0,0.0,0
bg,по,и,ск,ски,3.58,171.4,25,0.21,0,0,0,0.0,0.0,0
bg,на,а,та,оми,3.61,149.71,18,0.2,0,0,0,0.0,0.0,0
bg,на,а,то,ата,3.55,81.97,22,0.07,0,0,0,0.0,0.0,0
bg,на,а,на,рми,3.14,128.96,25,0.14,0,0,0,0.0,0.0,0
bg,на,а,на,аза,3.97,166.75,21,0.04,0,0,0,0.0,0.0,0
bg,от,а,на,ата,3.81,116.44,24,0.06,0,0,0,0.0,0.0,0
bg,на,а,та,ата,4.11,122.02,26,0.28,0,0,0,0.0,0.0,0
de,der,e,er,der,3.49,120.25,25,0.35,0,0,0,0.01,0.0,1
de,in,e,er,198,4.74,182.24,22,0.38,0,0,0,0.0,0.0,1
de,er,e,er,und,4.13,173.93,23,0.37,0,0,0,0.0,0.0,1
de,zu,e,er,ein,3.67,202.78,20,0.46,0,0,0,0.0,0.0,1
de,der,e,de,der,4.33,146.33,23,0.45,0,0,0,0.02,0.0,1
de,die,e,en,ein,3.92,244.87,24,0.49,0,0,0,0.0,0.0,1
de,der,e,en,rde,3.84,171.28,25,0.38,0,0,0,0.0,0.0,1
de,der,e,er,der,3.64,181.42,24,0.4,0,0,0,0.0,0.0,1
de,er,e,er,ein,3.49,142.63,21,0.39,0,0,0,0.0,0.0,1
de,der,e,er,und,3.88,165.17,23,0.38,0,0,-6.39,0.0,0.0,1
es,en,e,en,par,3.74,78.22,23,0.22,0,1,0,0.0,0.0,0
es,de,e,es,ent,3.68,137.53,23,0.06,0,1,0,0.0,0.0,0
es,de,e,de,río,3.42,80.42,22,0.24,0,1,0,0.0,0.0,1
es,de,e,en,dad,4.08,83.13,23,0.15,0,1,0,0.0,0.0,0
es,en,e,en,qui,4.17,124.67,23,0.17,0,1,0,0.0,0.0,0
es,de,e,en,par,3.98,102.3,18,0.21,0,0,0,0.0,0.0,0
es,de,e,en,nte,3.67,107.66,24,0.33,1,0,0,0.0,0.0,0
es,de,e,es,sta,4.52,114.75,24,0.24,0,1,0,0.0,0.0,0
es,de,e,os,ici,3.7,127.91,24,0.07,0,1,0,0.0,0.0,1
es,de,e,en,ent,4.4,136.61,25,0.05,0,1,0,0.0,0.0,0
fi,ja,a,en,tti,3.79,554.09,22,0.26,0,0,-4.26,0.0,0.0,0
fi,ja,a,an,sta,3.96,320.4,22,0.33,0,0,-4.6,0.0,0.0,0
fi,ja,i,en,avi,3.74,411.83,22,0.31,0,0,-4.32,0.0,0.0,0
fi,ja,t,en,ytt,4.3,729.0,20,0.09,0,0,-3.85,0.0,0.0,0
fi,ja,a,li,ssa,3.63,362.27,19,0.3,0,0,-5.58,0.01,0.0,0
fi,ja,a,an,rme,3.69,461.4,21,0.19,0,0,-4.14,0.0,0.0,0
fi,ja,a,st,sta,4.16,437.15,20,0.15,0,0,-4.1,0.0,0.0,0
fi,ja,i,en,ssa,3.91,373.25,22,0.39,0,0,-5.01,0.0,0.0,0
fi,ja,a,is,alo,3.68,525.84,19,0.25,0,0,-4.6,0.0,0.0,0
fi,ja,a,al,tti,3.89,525.4,20,0.19,0,0,-4.64,0.0,0.0,0
nl,het,e,en,van,3.23,135.21,22,0.32,0,0,-4.04,0.0,0.0,1
nl,de,e,en,oor,4.3,148.67,23,0.07,0,0,-3.56,0.0,0.0,1
nl,de,e,en,van,3.31,109.06,22,0.21,1,0,-3.78,0.0,0.0,1
nl,van,e,en,van,3.54,104.09,23,0.19,1,0,-4.2,0.0,0.0,1
nl,het,e,en,aar,3.63,180.36,23,0.28,0,0,-3.33,0.0,0.0,1
nl,de,e,en,van,3.96,119.9,22,0.22,0,0,-4.11,0.0,0.0,0
nl,de,e,en,ifj,3.87,105.13,22,0.22,0,0,-3.63,0.0,0.0,1
nl,de,e,en,ang,3.64,116.32,22,0.15,1,0,-3.87,0.0,0.0,1
nl,de,e,de,eer,3.93,120.56,23,0.2,0,0,-3.78,0.0,0.0,1
nl,de,e,en,van,4.05,106.67,24,0.13,0,0,-3.7,0.0,0.0,1
sv,och,r,ar,räd,4.02,154.53,25,0.07,0,0,0,0.0,0.0,0
sv,som,e,te,för,3.42,188.26,23,0.32,0,0,0,0.0,0.0,0
sv,och,r,de,nde,4.05,171.11,23,0.23,0,0,0,0.0,0.0,0
sv,som,a,an,gla,3.74,136.02,22,0.26,0,0,0,0.0,0.0,0
sv,och,a,an,200,2.68,158.56,21,0.23,0,0,0,0.0,0.0,0
sv,hon,a,te,ter,3.58,181.14,24,0.41,0,0,0,0.0,0.0,1
sv,om,n,en,för,4.83,152.67,22,0.03,0,0,0,0.0,0.0,0
sv,och,n,an,and,3.57,191.84,22,0.15,0,0,0,0.0,0.0,0
sv,och,e,de,och,3.44,89.6,24,0.4,0,0,-5.26,0.0,0.0,0
sv,och,r,en,och,3.9,168.51,25,0.16,0,0,0,0.0,0.0,0
fr,le,e,en,ent,3.48,88.96,21,0.19,1,0,0,0.0,0.0,0
fr,de,e,de,les,3.52,80.66,23,0.14,1,0,0,0.0,0.0,0
fr,de,e,de,lle,3.4,74.45,18,0.18,1,0,0,0.0,0.0,0
fr,de,e,de,que,3.49,98.37,20,0.2,1,0,0,0.0,0.0,0
fr,de,e,en,ent,3.69,94.11,20,0.12,1,0,0,0.0,0.0,0
fr,de,e,de,par,3.48,90.35,22,0.2,1,0,0,0.0,0.0,0
fr,de,e,er,ter,3.6,111.04,21,0.11,1,0,0,0.0,0.0,0
fr,de,e,en,ent,3.85,112.4,21,0.06,1,0,0,0.0,0.0,0
fr,en,e,en,ent,3.32,97.74,23,0.18,1,0,0,0.0,0.0,1
fr,la,e,on,ion,3.51,125.63,19,0.05,1,0,0,0.0,0.0,0
pt,de,a,de,isa,3.71,98.86,22,0.15,0,0,0,0.03,0.0,0
pt,da,a,da,lit,3.6,85.29,21,0.05,0,0,0,0.0,0.0,1
pt,em,e,ar,res,3.24,101.94,20,0.39,0,0,0,0.01,0.0,0
pt,em,o,os,com,3.51,93.23,19,0.2,0,0,0,0.01,0.0,0
pt,de,a,de,ria,3.6,112.91,25,0.18,0,0,0,0.0,0.0,0
pt,de,e,en,sen,3.29,123.79,18,0.27,1,0,0,0.01,0.0,0
pt,de,a,as,lan,3.54,70.08,21,0.2,0,0,0,0.0,0.0,0
pt,de,o,or,cor,3.78,77.52,21,0.03,0,0,0,0.0,0.0,0
pt,de,a,de,tra,3.24,107.55,20,0.18,0,0,0,0.02,0.0,0
pt,de,e,en,ent,3.79,107.78,24,0.09,0,0,0,0.0,0.0,0
